,buggy_source_code,fixed_source_code,check1,check2
381,"@java.lang.Override
public void close() throws java.lang.Exception {
    try {
        pool.clear(java.lang.Thread.currentThread());
    } catch (java.lang.Exception e) {
        throw new java.lang.RuntimeException(""Unable to close analyzer for current thread."", e);
    }
}","@java.lang.Override
public void close() throws java.lang.Exception {
    pool.remove();
}",-2,-2
1775,"private void startReboot() {
    android.util.Log.v(com.general.mediaplayer.csr.services.CsrManagerService.TAG, ""==CsrManagerService==startReboot=="");
    if (!(this.mRebootIsDo)) {
        android.util.Log.v(com.general.mediaplayer.csr.services.CsrManagerService.TAG, ""==CsrManagerService==startReboot==do========="");
        this.mRebootIsDo = true;
    }
}","private void startReboot() {
}",-2,-2
2997,"public static java.util.Calendar getCurrentCalendar() {
    java.util.Calendar calendar = java.util.Calendar.getInstance();
    calendar.set(java.util.Calendar.YEAR, 2017);
    calendar.set(java.util.Calendar.MONTH, 0);
    calendar.set(java.util.Calendar.DAY_OF_MONTH, 1);
    return calendar;
}","private static java.util.Calendar getCurrentCalendar() {
    return java.util.Calendar.getInstance();
}",-2,-2
557,"@org.junit.Test(expected = org.graylog2.plugin.alarms.callbacks.AlarmCallbackException.class)
public void graylogBaseUrlRetrievalInvalidUri() throws org.graylog2.plugin.alarms.callbacks.AlarmCallbackException {
    org.graylog2.alarmcallbacks.hipchat.HipChatAlarmCallback.getGraylogBaseUrl(new org.graylog2.plugin.configuration.Configuration(com.google.common.collect.ImmutableMap.<java.lang.String, java.lang.Object>of(""api_token"", ""TEST_api_token"", ""room"", ""TEST_room"", ""color"", ""INVALID"", ""graylog_base_url"", ""invalid URI"")));
}","@org.junit.Test(expected = org.graylog2.plugin.alarms.callbacks.AlarmCallbackException.class)
public void graylogBaseUrlRetrievalInvalidUri() throws org.graylog2.plugin.alarms.callbacks.AlarmCallbackException {
    org.graylog2.alarmcallbacks.hipchat.HipChatAlarmCallback.getGraylogBaseUrl(""invalid URI"");
}",-2,-2
985,"public void setRestrictionList(java.util.Map<java.lang.String, br.uff.ic.utility.AttributeErrorMargin> list) {
    attributeList.clear();
    attributeList.putAll(list);
}","public void setRestrictionList(java.util.Map<java.lang.String, br.uff.ic.utility.AttributeErrorMargin> list) {
    attributeList = new java.util.HashMap<java.lang.String, br.uff.ic.utility.AttributeErrorMargin>(list);
}",-2,-2
4733,"public java.lang.Integer numGamesPlayed() {
    return models.Game.find(""(one.email = ? or two.email = ?) and winner is not null"", email, email).fetch().size();
}","public java.lang.String toString() {
    return name;
}",-2,-2
2193,"@java.lang.Override
public java.util.Collection<T> models() {
    java.util.Set<T> models = new java.util.HashSet<>();
    org.mongodb.morphia.query.QueryResults<T> results = io.minecloud.db.mongo.AbstractMongoRepository.find();
    models.addAll(results.asList());
    return models;
}","@java.lang.Override
public java.util.Collection<T> models() {
    return io.minecloud.db.mongo.AbstractMongoRepository.find().asList();
}",-2,-2
5472,"public void setDateOfBirth(java.lang.String dateOfBirth) {
    try {
        this.dateOfBirth = new java.text.SimpleDateFormat(""yyyy-MM-dd"").parse(dateOfBirth);
    } catch (java.text.ParseException e) {
        e.printStackTrace();
    }
}","public void setDateOfBirth(java.util.Date dateOfBirth) {
    this.dateOfBirth = dateOfBirth;
}",-2,-2
5683,"public static void changeProductInformation(java.lang.String name, java.lang.String msrp) {
    project.Product.name = name;
    project.Product.msrp = msrp;
}","public void changeProductInformation(java.lang.String name, java.lang.String msrp) {
    this.name = name;
    this.msrp = msrp;
}",2,2
4759,"@java.lang.Override
public void onNavigationDrawerItemSelected(int position) {
    android.support.v4.app.FragmentManager fragmentManager = getSupportFragmentManager();
    fragmentManager.beginTransaction().replace(R.id.container, com.boolong.hangrywaits.Home.HomeFragment.newInstance((position + 1))).commit();
}","@java.lang.Override
public void onNavigationDrawerItemSelected(int position) {
}",-2,-2
3138,"@java.lang.Override
public void setSubmitDate(java.util.Date d) {
    this.submitDate = d;
}","@java.lang.Override
public void setSubmitDate(java.util.Date d) {
    if (d == null) {
        this.submitDate = null;
    }else {
        this.submitDate = new java.util.Date(d.getTime());
    }
}",1,1
3723,"@java.lang.Override
public java.lang.String toString() {
    org.zenframework.z8.server.types.bool.loadResources();
    return m_value ? org.zenframework.z8.server.types.bool.trueString : org.zenframework.z8.server.types.bool.falseString;
}","@java.lang.Override
public java.lang.String toString() {
    return java.lang.Boolean.toString(m_value);
}",-2,-2
5651,"@java.lang.Override
public int getBlueValueInt() {
    return this.color.getBlue();
}","@java.lang.Override
public int getBlueValueInt() {
    return this.b;
}",-2,-2
2684,"public void freeConnection(java.sql.Connection conn) {
    if (conn != null) {
        try {
            conn.close();
        } catch (java.lang.Exception e) {
            dbaware.DbConnector.logger.error(""freeConnection exception"", e);
        }
        conn = null;
    }
}","public void freeConnection(java.sql.Connection conn) {
    return ;
}",-2,-2
3764,"private se.ade.minecraft.adeplugin.warpstone.WarpStoneSignature getWarpSignature(org.bukkit.block.Block block) {
    org.bukkit.block.Block[] adjacent = getAdjacentBlocks(block);
    if (se.ade.minecraft.adeplugin.warpstone.WarpStoneSignature.validateMaterials(adjacent)) {
        return new se.ade.minecraft.adeplugin.warpstone.WarpStoneSignature(adjacent);
    }else {
        return null;
    }
}","private se.ade.minecraft.adeplugin.warpstone.WarpStoneSignature getWarpSignature(org.bukkit.block.Block block) {
    return getWarpSignature(block, null);
}",-2,-2
3227,"@javafx.fxml.FXML
private void optionButtonAction() {
    this.gsm.push(""saveGame"");
}","@javafx.fxml.FXML
private void optionButtonAction() {
}",-2,-2
5787,"public void tellMeWhatsTheTimeIn(java.util.List<java.lang.String> locations) {
    locations.stream().map(( location) -> {
        java.lang.String time = timeRetriever.timeFor(location);
        return timeOutputRenderer.renderReport(location, time);
    });
}","public void tellMeWhatsTheTimeIn(java.util.List<java.lang.String> locations) {
    for (java.lang.String location : locations) {
        java.lang.String time = timeRetriever.timeFor(location);
        timeOutputRenderer.renderReport(location, time);
    }
}",1,1
4744,public void function(T object);,public void function(java.lang.Object... args);,-2,-2
2245,"@java.lang.Override
public void onFail(int failCode) {
    com.bumptech.glide.Glide.with(getActivity().getApplicationContext()).load(getResources().getDrawable(R.drawable.beans)).into(popupImageView);
    completionHandler.onComplete();
}","@java.lang.Override
public void onFail(int failCode) {
    completionHandler.onComplete();
}",-2,-2
0,"public java.util.List<com.googlecode.mp4parser.authoring.Sample> getSamples() {
    java.util.ArrayList<com.googlecode.mp4parser.authoring.Sample> lists = new java.util.ArrayList<com.googlecode.mp4parser.authoring.Sample>();
    for (com.googlecode.mp4parser.authoring.Track track : tracks) {
        lists.addAll(track.getSamples());
    }
    return lists;
}","public java.util.List<com.googlecode.mp4parser.authoring.Sample> getSamples() {
    return lists;
}",-2,-2
3437,"public com.nnpcgroup.comd.cosm.entitlement.entity.JvForecastProduction getCurrentProduction() {
    com.nnpcgroup.comd.cosm.entitlement.controller.JvProductionController.log.log(java.util.logging.Level.INFO, ""ProductionController::getCurrentProduction returning..."", currentProduction);
    if ((currentProduction) == null) {
        currentProduction = productionBean.createInstance();
    }
    return currentProduction;
}","public com.nnpcgroup.comd.cosm.entitlement.entity.JvForecastProduction getCurrentProduction() {
    return currentProduction;
}",-2,-2
2986,"@java.lang.Override
public void onClick(int position) {
    com.example.nguyennam.financialbook.utils.FileHelper.writeFile(context, filename, ("""" + (++position)));
    ((com.example.nguyennam.financialbook.MainActivity) (context)).replaceFragment(new com.example.nguyennam.financialbook.accounttab.EditAccount(), true);
}","@java.lang.Override
public void onClick(int position) {
}",-2,-2
4387,"void addAllRuns() {
    addContinuousLineRuns(java.lang.Math.min(charStart, skipStart), java.lang.Math.max(charEnd, skipEnd), this);
}","void addAllRuns() {
    addContinuousLineRuns(charStart, charEnd, this);
}",1,1
3871,"private java.lang.String pathForCreateGhost(com.pm.server.datatype.Coordinate location) {
    return ((((com.pm.server.controller.GhostControllerTest.BASE_MAPPING) + ""/"") + (location.getLatitude())) + ""/"") + (location.getLongitude());
}","private java.lang.String pathForCreateGhost() {
    return com.pm.server.controller.GhostControllerTest.BASE_MAPPING;
}",-2,-2
5295,"@java.lang.Override
public boolean equals(java.lang.Object o) {
    return ((this) == o) || ((o instanceof org.logicng.solvers.datastructures.MSClause) && (org.logicng.solvers.datastructures.MSClause.dataEquals(this.data, ((org.logicng.solvers.datastructures.MSClause) (o)).data)));
}","@java.lang.Override
public boolean equals(java.lang.Object o) {
    return (this) == o;
}",-2,-2
2293,"public java.sql.ResultSet getSchemas() throws java.sql.SQLException {
    if ((getSchemas) == null) {
        getSchemas = conn.prepareStatement(""select null as TABLE_SCHEM, null as TABLE_CATALOG limit 0;"");
    }
    return getSchemas.executeQuery();
}","public java.sql.ResultSet getSchemas() throws java.sql.SQLException {
    return execute(""select null as TABLE_SCHEM, null as TABLE_CATALOG limit 0;"");
}",-2,-2
403,"public void onTextChanged(java.lang.CharSequence c, int start, int before, int count) {
    mTaskTitle = c.toString();
    com.bignerdranch.android.done.AppData.User.get().getList(listId).getTask(taskId).setTaskName(mTaskTitle);
}","public void onTextChanged(java.lang.CharSequence c, int start, int before, int count) {
}",-2,-2
3232,"@java.lang.Override
protected void onPostExecute(java.lang.Void ignore) {
    try {
        new com.ilyarudyak.android.portfel.ui.StockDetailActivity.FetchNewsFeed().execute(com.ilyarudyak.android.portfel.api.Config.getCompanyNewsUrl(mSymbol));
    } catch (java.net.MalformedURLException e) {
        e.printStackTrace();
    }
}","@java.lang.Override
protected void onPostExecute(java.lang.Void ignore) {
}",-2,-2
3678,"public void removeNecessaryAchievement(data.Achievement achievement) {
    if ((necessaryAchievements) == null) {
        necessaryAchievements = new java.util.ArrayList<data.Achievement>();
    }
    if (necessaryAchievements.contains(achievement)) {
        necessaryAchievements.remove(achievement);
    }else {
    }
}","public void removeNecessaryAchievement(data.Achievement achievement) {
    necessaryAchievements.remove(achievement);
}",-2,-2
917,"public java.lang.String getEmail() {
    return phoneAndEmail.getText().split(""\\s+"")[1].trim();
}","public java.lang.String getEmail() {
    java.lang.String[] split = phoneAndEmail.getText().trim().split(""\\s+"");
    return split[((split.length) - 1)].trim();
}",-1,-1
2961,"@java.lang.Override
protected void saveToModel() {
    super.saveToModel();
    if (camera.isDirty()) {
        camera.setDeviceIndex(camera.getDeviceIndex());
    }
}","@java.lang.Override
protected void saveToModel() {
    super.saveToModel();
}",-2,-2
4826,"@cpw.mods.fml.common.eventhandler.SubscribeEvent(priority = cpw.mods.fml.common.eventhandler.EventPriority.LOW)
public void playerInteractEvent(net.minecraftforge.event.entity.player.PlayerInteractEvent event) {
    if (((event.entityPlayer.getCurrentEquippedItem()) != null) && ((event.entityPlayer.getCurrentEquippedItem().getItem()) instanceof de.yotsuba.mahouka.item.ItemCad)) {
        event.useBlock = cpw.mods.fml.common.eventhandler.Event.Result.DENY;
    }
}","@cpw.mods.fml.common.eventhandler.SubscribeEvent(priority = cpw.mods.fml.common.eventhandler.EventPriority.LOW)
public void playerInteractEvent(net.minecraftforge.event.entity.player.PlayerInteractEvent event) {
}",-2,-2
5006,"private void buildPoliticalTopicsList() {
    politicalList = new java.util.ArrayList<java.lang.String>();
    politicalList.add(""Democrat"");
}","private void buildPoliticalTopicsList() {
}",-2,-2
4091,"@java.lang.Override
public void onCreate() {
    super.onCreate();
    try {
        java.security.Security.insertProviderAt(new org.spongycastle.jce.provider.BouncyCastleProvider(), 1);
    } catch (java.lang.NoClassDefFoundError e) {
        android.util.Log.w(com.tananaev.passportreader.MainApplication.class.getSimpleName(), e);
    }
}","@java.lang.Override
public void onCreate() {
    super.onCreate();
    java.security.Security.insertProviderAt(new org.spongycastle.jce.provider.BouncyCastleProvider(), 1);
}",-2,-2
5471,"@java.lang.Override
public void onStop() {
    super.onStop();
    cz.vspj.schrek.im.activity.MainActivity mainActivity = ((cz.vspj.schrek.im.activity.MainActivity) (getActivity()));
    mainActivity.showMenuIcon(true);
    android.support.v7.app.ActionBar actionBar = mainActivity.getSupportActionBar();
    actionBar.setDisplayShowTitleEnabled(true);
}","@java.lang.Override
public void onStop() {
    super.onStop();
}",-2,-2
229,"protected java.lang.String getUserIdForAccessOutcome(org.restlet.Response response) {
    java.lang.String userId = org.forgerock.openam.audit.context.AuditRequestContext.getProperty(org.forgerock.openam.rest.audit.USER_ID);
    return userId == null ? """" : userId;
}","protected java.lang.String getUserIdForAccessOutcome(org.restlet.Response response) {
    return null;
}",-2,-2
3646,"public void printRecSubtotal(long amount) throws java.lang.Exception {
    checkTotal(getSubtotal(), amount);
    addTextItem(formatStrings(getParams().subtotalText, (""="" + (com.shtrih.util.StringUtils.amountToString(getSubtotal())))));
}","public void printRecSubtotal(long amount) throws java.lang.Exception {
    checkTotal(getSubtotal(), amount);
}",-2,-2
3117,"private void checkAckNackCondition() {
    if (((java.lang.System.currentTimeMillis()) - (lastAckNackTimestamp)) > 3)
        sendAckNackResponse();
    
}","private void checkAckNackCondition() {
    sendAckNackResponse();
}",-2,-2
5649,"@java.lang.Override
public void run() {
    if (Clock.Stopwatch.stoptimer) {
        java.lang.System.out.println(((""The stopwatch finished at: "" + (elapsedmilliseconds)) + ""milliseconds""));
        timer.cancel();
    }
}","@java.lang.Override
public void run() {
    (elapsedmilliseconds)++;
}",-2,-2
792,"public java.lang.Short getShort(java.lang.String key) {
    return ((java.lang.Short) (map.get(key)));
}","public java.lang.String getString(java.lang.String key) {
    if ((map.get(key)) != null) {
        return map.get(key).toString();
    }
    return null;
}",-2,-2
1937,"@java.lang.Override
public void onProgressChanged(android.widget.SeekBar seekBar, int progress, boolean fromUser) {
    if (fromUser && ((mProgressAnimator) != null)) {
        mProgressAnimator.cancel();
        mProgressAnimator = null;
    }
}","@java.lang.Override
public void onProgressChanged(android.widget.SeekBar seekBar, int progress, boolean fromUser) {
}",-2,-2
1254,"private void printNewPlan(CostModel.Plan newPlan) {
    java.lang.System.out.println((""newPlan = "" + (newPlan.toString())));
}","private void printNewPlan(CostModel.Plan newPlan) {
}",-2,-2
3344,"public void testGetLatestFileName() {
    assertEquals(""hello_20141212_120108.png"", io.evercam.androidapp.photoview.SnapshotManager.getLatestFileName(ALL_FILES_ARRAY));
}","public void testGetLatestFileName() {
}",-2,-2
1930,"<String>  getManagerPolicyIds() {
}","java.util.Set<java.lang.String> getManagerPolicyIds() {
}",-2,-2
8,"public static void main(java.lang.String[] a) {
    main.DAOTest.TestCineplexDAO();
    main.DAOTest.TestCinemaDAO();
    main.DAOTest.TestMovieDAO();
    main.DAOTest.TestShowTimeDAO();
    main.DAOTest.TestBookingDAO();
}","public static void main(java.lang.String[] a) {
}",-2,-2
5276,"@java.lang.Override
public void onClick(android.view.View v) {
    setNewValues();
    com.codepath.qzineat.fragments.ProfileFragment profileFragment = new com.codepath.qzineat.fragments.ProfileFragment();
    android.support.v4.app.FragmentTransaction fragmentTransaction = getFragmentManager().beginTransaction();
    fragmentTransaction.replace(R.id.flContent, profileFragment);
    fragmentTransaction.commit();
}","@java.lang.Override
public void onClick(android.view.View v) {
    setNewValues();
}",-2,-2
2095,"@java.lang.Override
public int removeByMinecraft(final int minecraftID) {
    final int k = this.mirror.remove(minecraftID);
    if (k == (-1)) {
        return -1;
    }
    this.pattern.remove(k);
    return k;
}","@java.lang.Override
public int size() {
    return this.pattern.size();
}",-2,-1
5518,"@java.lang.Override
public int getChildrenCount(int groupPosition) {
    return this.list_child.get(this.list_parent.get(groupPosition).getOrderId()).size();
}","@java.lang.Override
public int getChildrenCount(int groupPosition) {
    return 1;
}",-2,-2
69,"public void teleopPeriodic() {
    edu.wpi.first.wpilibj.command.Scheduler.getInstance().run();
    edu.wpi.first.wpilibj.smartdashboard.SmartDashboard.putNumber(""gyro angle"", org.usfirst.frc.team5700.robot.Robot.drivetrain.getGyroAngle());
    edu.wpi.first.wpilibj.smartdashboard.SmartDashboard.putData(""reset gyro angle"", new org.usfirst.frc.team5700.robot.ResetGyroAngle());
}","public void teleopPeriodic() {
    edu.wpi.first.wpilibj.command.Scheduler.getInstance().run();
}",-2,-2
3510,"public boolean search(java.lang.String value) {
    if ((root) == null) {
        return false;
    }else {
        return root.search(value);
    }
}","public void search() {
}",-2,-2
2192,"@java.lang.Override
protected void configureInbound(org.springframework.security.config.annotation.web.messaging.MessageSecurityMetadataSourceRegistry messages) {
    messages.nullDestMatcher().authenticated().simpDestMatchers(""/topic/**"").authenticated().simpTypeMatchers(SimpMessageType.MESSAGE, SimpMessageType.SUBSCRIBE).denyAll().anyMessage().denyAll();
}","@java.lang.Override
protected void configureInbound(org.springframework.security.config.annotation.web.messaging.MessageSecurityMetadataSourceRegistry messages) {
}",-2,-2
764,"@java.lang.Override
protected void onPreExecute() {
    requestArgs = getRequestArgs();
    if (closedSwitch.isChecked()) {
        requestArgs.clear();
        requestArgs.put(""visible"", false);
    }
    showProgress();
}","@java.lang.Override
protected void onPreExecute() {
    requestArgs = getRequestArgs();
    showProgress();
}",-2,-2
3360,"@java.lang.Override
protected void onNfcStateChange(boolean enabled) {
    if (enabled) {
        toast(getString(org.ndeftools.boilerplate.R.string.nfcAvailableEnabled));
    }else {
        toast(getString(org.ndeftools.boilerplate.R.string.nfcAvailableDisabled));
    }
}","@java.lang.Override
protected void onNfcStateChange(boolean enabled) {
    if (enabled) {
    }else {
    }
}",-2,-2
4497,"public static void init() {
    Main.In.br = new java.io.BufferedReader(new java.io.InputStreamReader(java.lang.System.in));
    try {
        Main.In.br = new java.io.BufferedReader(new java.io.FileReader(""/home/ubuntu/workspace/data.txt""));
    } catch (java.lang.Exception e) {
        e.printStackTrace();
    }
}","public static void init() {
    Main.In.br = new java.io.BufferedReader(new java.io.InputStreamReader(java.lang.System.in));
}",-2,-2
3455,"public java.lang.StringBuilder getMessage() {
    message.append((((""Your user name is "" + (username)) + "" and your password is "") + (password)));
    return message;
}","public java.lang.StringBuilder getMessage() {
    message = new java.lang.StringBuilder();
    message.append(""Your user name is "");
    message.append(username);
    message.append("" and your password is "");
    message.append(password);
    return message;
}",-2,-2
2434,"@java.lang.Override
public void onLocationChanged(android.location.Location location) {
    java.lang.System.out.println((((""Longitude: "" + (location.getLongitude())) + "" Latitude: "") + (location.getLatitude())));
    userLocation = location;
    loadUpvoteData();
}","@java.lang.Override
public void onLocationChanged(android.location.Location location) {
    userLocation = location;
    loadUpvoteData();
}",-2,-2
4582,"private void getCurWifiInfo() {
    if (!(isWifiContect())) {
        com.umarbhutta.xlightcompanion.Tools.ToastUtil.showToast(this, getString(R.string.please_open_wifi));
        return ;
    }
    getWifiList();
}","private void getCurWifiInfo() {
    getWifiList();
}",-2,-2
3133,"@java.lang.Override
protected void onResume() {
    super.onResume();
    setUpMapIfNeeded();
    android.util.Log.i(com.intersog.androidcourse.rimma.googlemaphw19.MapsActivity.TAG, (""onResume "" + (mGoogleApiClient.isConnected())));
}","@java.lang.Override
protected void onResume() {
    super.onResume();
    setUpMapIfNeeded();
}",-2,-2
1564,"public void print(java.io.PrintStream out) throws java.io.IOException {
    out.print(this.word);
    out.print(this.separator);
    out.print(this.tag);
    out.print(' ');
}","@java.lang.Override
public java.lang.String toString() {
    return ((this.word) + (this.separator)) + (this.tag);
}",-2,-2
1877,"public static int size() {
    int i = 0;
    for (at.sbc.firework.entities.EnumParts p : at.sbc.firework.entities.EnumParts.values()) {
        i++;
    }
    return i;
}","public static int size() {
    return at.sbc.firework.entities.EnumParts.values().length;
}",-2,-2
1477,"public java.lang.String getCurrentServer() {
    if (null == (currentServer))
        throw new java.lang.IllegalArgumentException(""Current server name not set!"");
    
    return currentServer;
}","public java.lang.String getCurrentServer() {
    return currentServer;
}",-2,-2
920,"@java.lang.Override
public void run() {
    com.jrdcom.systrace.service.AtraceService.sAtraceRunning = false;
    freezeIcon(false);
    if (!isOK) {
        showToast(failToast);
    }else {
        showLongToast((((pathToast) + (com.jrdcom.systrace.service.AtraceService.sDesiredStoragePath)) + ""/""));
    }
}","@java.lang.Override
public void run() {
    freezeIcon(true, true);
}",-2,-2
5031,"@java.lang.Override
public void onClick(android.view.View v) {
    android.content.Intent recordIntent = new android.content.Intent();
    startActivity(recordIntent);
}","@java.lang.Override
public void onClick(android.view.View v) {
}",-2,-2
5088,"private static void reopenIfClosed() {
    try {
        if (edu.cis232.gwasos.resources.DatabaseHandler.con.isClosed()) {
            edu.cis232.gwasos.resources.DatabaseHandler.openConnection();
        }
    } catch (java.sql.SQLException ex) {
        java.lang.System.out.println(ex.getMessage());
    }
}","private static void reopenIfClosed() {
    edu.cis232.gwasos.resources.DatabaseHandler.openConnection();
}",-2,-2
2621,"@java.lang.Override
public void run() throws java.lang.Exception {
    misc.Log.log((""Acq event slice index "" + (event.sliceIndex_)));
    misc.Log.log((""Acq event z position "" + (event.zPosition_)));
    acq.MagellanEngine.core_.setPosition(zStage, event.zPosition_);
}","@java.lang.Override
public void run() throws java.lang.Exception {
    acq.MagellanEngine.core_.setPosition(zStage, event.zPosition_);
}",-2,-2
3014,"public void notifyOnBoaredPassenger(java.lang.String passengerPhoneNumber) {
    com.dev.irsg.busassister.AppLogic.getInstance().setPassengerState(passengerPhoneNumber, PassengerData.PassengerState.ON_BOARDED);
    mAdapter.notifyDataSetChanged();
}","public void notifyDataSetChanged() {
    mAdapter.notifyDataSetChanged();
}",-2,-2
140,"protected android.view.ActionMode.Callback getWindowCallback() {
    if ((com.mesmotronic.plugins.FullScreenPlugin._windowCallback) == null) {
        com.mesmotronic.plugins.FullScreenPlugin._windowCallback = window.getCallback();
    }
    return com.mesmotronic.plugins.FullScreenPlugin._windowCallback;
}","protected android.view.ActionMode.Callback getWindowCallback() {
    return window.getCallback();
}",-2,-2
5533,"private void loadTables() {
    vocabletrainer.heinecke.aron.vocabletrainer.lib.Database db = new vocabletrainer.heinecke.aron.vocabletrainer.lib.Database(this.getBaseContext());
    java.util.List<vocabletrainer.heinecke.aron.vocabletrainer.lib.Storage.Table> tables = db.getTables();
    adapter.addAllUpdated(tables);
}","private void loadTables() {
    tables = db.getTables();
    adapter.addAllUpdated(tables);
}",-2,-2
3683,"@java.lang.Override
public java.lang.Object javaObjectValue() {
    if (((value) <= (java.lang.Integer.MAX_VALUE)) && ((value) >= (java.lang.Integer.MIN_VALUE))) {
        int res = ((int) (value));
        return res;
    }
    return value;
}","@java.lang.Override
public java.lang.Object javaObjectValue() {
    return value;
}",-2,-2
454,"@java.lang.Override
public void run() {
    final android.app.AlertDialog.Builder dialogBuilder = new android.app.AlertDialog.Builder(getApplicationContext());
    dialogBuilder.show();
}","@java.lang.Override
public void run() {
}",-2,-2
2727,"@java.lang.Override
public java.lang.Boolean getItem(int position) {
    return myList.get(position).isAvailable().equals(""true"");
}","@java.lang.Override
public java.lang.Boolean getItem(int position) {
    return true;
}",-2,-2
1383,"@org.junit.Test
public void testGetAbstractValueSignState() {
    org.sosy_lab.cpachecker.cpa.sign.SignState signState = SignState.TOP.assignSignToVariable(""x"", SIGN.PLUSMINUS);
}","@org.junit.Test
public void testGetAbstractValueSignState() {
}",-2,-2
3321,"@java.lang.Override
public void onClick(android.content.DialogInterface dialog, int which) {
    try {
        de.mkrtchyan.recoverytools.FlashUtil.uninstallXZDual(mActivity.getShell());
    } catch (org.sufficientlysecure.rootcommands.util.FailedExecuteCommand failedExecuteCommand) {
        failedExecuteCommand.printStackTrace();
    }
}","@java.lang.Override
public void onClick(android.content.DialogInterface dialog, int which) {
}",-2,-2
3284,"@java.lang.Override
public void onPause() {
    super.onPause();
    ((it.uniba.di.ivu.sms16.gruppo3.fasterfood.HomeActivity) (getActivity())).setIsLoginFragmentAttached(false);
}","@java.lang.Override
public void onPause() {
    super.onPause();
}",-2,-2
4336,"@java.lang.Override
public void setFactForUnknown(org.experts.bayes.guesser.bayes.Fact fact) {
    net.clearEvidence(fact.getNodeId());
    net.updateBeliefs();
}","@java.lang.Override
public void setFactForUnknown(org.experts.bayes.guesser.bayes.Fact fact) {
}",-2,-2
1681,"private io.yawp.plugin.devserver.appengine.AppengineUserRealm createAppengineUserRealm() {
    io.yawp.plugin.devserver.appengine.AppengineWebAppContext appengineWebApp = ((io.yawp.plugin.devserver.appengine.AppengineWebAppContext) (webapp));
    return new io.yawp.plugin.devserver.appengine.AppengineUserRealm(appengineWebApp.getHelper());
}","private io.yawp.plugin.devserver.appengine.AppengineUserRealm createAppengineUserRealm() {
    return new io.yawp.plugin.devserver.appengine.AppengineUserRealm();
}",-2,-2
114,"@java.lang.Override
public void call(com.limegroup.gnutella.gui.search.SearchManagerSignal s) {
    if (s instanceof com.limegroup.gnutella.gui.search.SearchManagerSignal.Results) {
        onResults(s.token, ((com.limegroup.gnutella.gui.search.SearchManagerSignal.Results) (s)).elements);
    }else {
        onFinished(s.token);
    }
}","@java.lang.Override
public void onFinished(long token) {
    this.onFinished(token);
}",-2,-2
495,"public void beforeCompletion() {
    this.cmdScopedEntityManager = ((org.drools.persistence.jpa.AbstractPersistenceContextManager) (this.service.tpm)).getCommandScopedEntityManager();
}","public void beforeCompletion() {
}",-2,-2
4355,"@com.xtremelabs.robolectric.internal.Implementation
@java.lang.Override
public boolean moveToNext() {
    try {
        resultSet.next();
    } catch (java.sql.SQLException e) {
        throw new java.lang.RuntimeException(""SQL exception in moveToNext"", e);
    }
    return super.moveToNext();
}","@com.xtremelabs.robolectric.internal.Implementation
@java.lang.Override
public boolean moveToNext() {
    return super.moveToNext();
}",-2,-2
4645,"public static void load() {
    com.github.bot.curiosone.app.chat.helpers.AssetLoader.skin = new com.badlogic.gdx.scenes.scene2d.ui.Skin();
    com.github.bot.curiosone.app.chat.helpers.AssetLoader.send = new com.badlogic.gdx.graphics.Texture(Gdx.files.internal(""chat-asset/send.png""));
    com.github.bot.curiosone.app.chat.helpers.AssetLoader.skin.add(""send"", com.github.bot.curiosone.app.chat.helpers.AssetLoader.send);
}","public static void load() {
    com.github.bot.curiosone.app.chat.helpers.AssetLoader.skin = new com.badlogic.gdx.scenes.scene2d.ui.Skin();
}",-2,-2
3183,"public void actionPerformed(java.awt.event.ActionEvent e) {
    (currentTick)++;
    if (((currentTick) % 1) == 0)
        spaceinvaders.GUI.move();
    
    spaceinvaders.GameLogic.getShip();
}","public void actionPerformed(java.awt.event.ActionEvent e) {
    (currentTick)++;
}",-2,-2
1108,"@java.lang.Override
public void keyTyped(java.awt.event.KeyEvent e) {
    if ((e.getKeyCode()) == (java.awt.event.KeyEvent.VK_SPACE)) {
        inGame = true;
        java.lang.System.out.println(""str"");
    }
}","@java.lang.Override
public void keyTyped(java.awt.event.KeyEvent e) {
}",-2,-2
2792,"public void update(T obj) {
    javax.persistence.EntityTransaction tx = entitymanager.getTransaction();
    tx.begin();
    try {
        entitymanager.merge(obj);
    } finally {
        tx.commit();
    }
}","public void update(T obj) {
    entitymanager.merge(obj);
}",-2,-2
54,"@java.lang.Override
public void onPeerDisconnected(com.mobvoi.android.wearable.Node node) {
    android.util.Log.d(com.theteamgo.fancywatch.MainActivity.TAG, (""Node Disconnected"" + (node.getId())));
}","@java.lang.Override
public void onPeerDisconnected(com.mobvoi.android.wearable.Node node) {
}",-2,-2
876,"@java.lang.Override
public void onSensorChanged(android.hardware.SensorEvent sensorEvent) {
    addSampleOnPlot(sensorEvent.values[0], sensorEvent.values[1], sensorEvent.values[2]);
}","@java.lang.Override
public void onSensorChanged(android.hardware.SensorEvent sensorEvent) {
}",-2,-2
4405,"@java.lang.Override
protected void generate() {
    super.generate();
    bitmap(bitmap);
    filter(fModeMin, fModeMax);
    wrap(wModeH, wModeV);
}","@java.lang.Override
protected void generate() {
    super.generate();
    bitmap(bitmap);
    super.filter(fModeMin, fModeMax);
    super.wrap(wModeH, wModeV);
}",1,1
