,buggy-org,buggy,fixed-org,fixed,check1,check2
4082,"public void METHOD_1 ( TYPE_1 error ) { java.lang.System.out.println ( new TYPE_2 ( ) . METHOD_2 ( error ) ) ; } 
","public void METHOD_1 ( TYPE_1 error ) { java.lang.System.out.println ( new TYPE_2 ( ) . METHOD_2 ( error ) ) ; } 
","public void METHOD_1 ( TYPE_1 error ) { java.lang.System.out.println ( error . toString ( ) ) ; } 
","public void METHOD_1 ( TYPE_1 error ) { java.lang.System.out.println ( error . METHOD_2 ( ) ) ; } 
",-1,-1
2076,"public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 ) { TYPE_2 . METHOD_2 ( ) . delete ( VAR_3 ) ; VAR_4 . METHOD_3 ( position ) ; VAR_4 . METHOD_4 ( ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 ) { TYPE_2 . METHOD_2 ( ) . delete ( VAR_3 ) ; VAR_4 . METHOD_3 ( position ) ; VAR_4 . METHOD_4 ( ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 ) { TYPE_2 . METHOD_2 ( ) . delete ( position ) ; VAR_4 . METHOD_3 ( position ) ; VAR_4 . METHOD_4 ( ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 ) { TYPE_2 . METHOD_2 ( ) . delete ( VAR_3 ) ; VAR_4 . METHOD_3 ( position ) ; VAR_4 . METHOD_4 ( ) ; } 
",-2,-2
4810,"static < TYPE_1 , TYPE_2 , TYPE_3 > TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > function ( TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > VAR_1 ) { return VAR_1 ; } 
","static < TYPE_1 , TYPE_2 , TYPE_3 > TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > function ( TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > VAR_1 ) { return VAR_1 ; } 
","static < TYPE_1 , TYPE_2 , TYPE_3 > TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > function ( TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > function ) { return function ; } 
","static < TYPE_1 , TYPE_2 , TYPE_3 > TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > function ( TYPE_4 < TYPE_1 , TYPE_2 , TYPE_3 > VAR_1 ) { return VAR_1 ; } 
",-2,-2
3236,"public synchronized boolean METHOD_1 ( ) { return ( VAR_1 ) && ( ( VAR_2 . METHOD_2 ( ) ) == 0 ) ; } 
","public synchronized boolean METHOD_1 ( ) { return ( VAR_1 ) && ( ( VAR_2 . METHOD_2 ( ) ) == 0 ) ; } 
","public synchronized boolean METHOD_1 ( ) { return ( VAR_1 ) && ( ( VAR_2 . size ( ) ) == 0 ) ; } 
","public synchronized boolean METHOD_1 ( ) { return ( VAR_1 ) && ( ( VAR_2 . METHOD_2 ( ) ) == 0 ) ; } 
",-2,-2
1061,"public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { return ( ( VAR_1 . METHOD_2 ( ) ) != null ) && ( VAR_1 . METHOD_2 ( ) . equals ( java.lang.String . METHOD_3 ( VAR_2 . METHOD_4 ( ) ) ) ) ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { return ( ( VAR_1 . METHOD_2 ( ) ) != null ) && ( VAR_1 . METHOD_2 ( ) . METHOD_4 ( java.lang.String . METHOD_3 ( VAR_2 . METHOD_4 ( ) ) ) ) ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { return ( ( VAR_1 . METHOD_2 ( ) ) != null ) && ( ( VAR_1 . METHOD_2 ( ) . METHOD_4 ( ) ) == ( VAR_2 . METHOD_4 ( ) ) ) ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { return ( ( VAR_1 . METHOD_2 ( ) ) != null ) && ( ( VAR_1 . METHOD_2 ( ) . METHOD_4 ( ) ) == ( VAR_2 . METHOD_4 ( ) ) ) ; } 
",-2,-2
2580,"public void METHOD_1 ( java.lang.String message , java.lang.Throwable VAR_1 ) { VAR_2 . METHOD_1 ( message , VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String message , java.lang.Throwable VAR_1 ) { VAR_2 . METHOD_1 ( message , VAR_1 ) ; } 
","public void error ( java.lang.String message , java.lang.Throwable error ) { VAR_2 . error ( message , error ) ; } 
","public void METHOD_1 ( java.lang.String message , java.lang.Throwable VAR_1 ) { VAR_2 . METHOD_1 ( message , VAR_1 ) ; } 
",-2,-2
2369,"public final TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) throws TYPE_2 { return METHOD_1 ( new TYPE_3 ( VAR_1 ) ) ; } 
","public final TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) throws TYPE_2 { return METHOD_1 ( new TYPE_3 ( VAR_1 ) ) ; } 
","public final TYPE_1 METHOD_1 ( java.lang.String name ) throws TYPE_2 { return METHOD_1 ( new TYPE_3 ( name ) ) ; } 
","public final TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) throws TYPE_2 { return METHOD_1 ( new TYPE_3 ( VAR_1 ) ) ; } 
",-2,-2
733,"private TYPE_1 METHOD_1 ( java.lang.String name , TYPE_2 token ) { TYPE_3 VAR_1 = METHOD_2 ( name , token ) ; return TYPE_4 . METHOD_3 ( VAR_1 ) ; } 
","private TYPE_1 METHOD_1 ( java.lang.String name , TYPE_2 token ) { TYPE_3 VAR_1 = METHOD_2 ( name , token ) ; return TYPE_4 . METHOD_3 ( VAR_1 ) ; } 
","private TYPE_1 METHOD_1 ( TYPE_2 token ) { return METHOD_1 ( token . getText ( ) , token ) ; } 
","private TYPE_1 METHOD_1 ( TYPE_2 token ) { return METHOD_1 ( token . getText ( ) , VAR_1 ) ; } 
",1,1
2094,"static < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > function ( TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > VAR_1 ) { return VAR_1 ; } 
","static < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > function ( TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > VAR_1 ) { return VAR_1 ; } 
","static < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > function ( TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > function ) { return function ; } 
","static < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > function ( TYPE_5 < TYPE_1 , TYPE_2 , TYPE_3 , TYPE_4 > VAR_1 ) { return VAR_1 ; } 
",-2,-2
5057,"private java.lang.String METHOD_1 ( int VAR_1 ) { java.lang.String VAR_2 = VAR_1 + STRING_1 ; while ( ( VAR_2 . length ( ) ) < INT_1 ) VAR_2 = ""0"" + VAR_2 ; return VAR_2 ; } 
","private java.lang.String METHOD_1 ( int VAR_1 ) { java.lang.String VAR_2 = VAR_1 + STRING_1 ; while ( ( VAR_2 . length ( ) ) < INT_1 ) VAR_2 = ""0"" + VAR_2 ; return VAR_2 ; } 
","private java.lang.String METHOD_1 ( int VAR_1 , int n ) { java.lang.String VAR_2 = VAR_1 + STRING_1 ; while ( ( VAR_2 . length ( ) ) < n ) VAR_2 = ""0"" + VAR_2 ; return VAR_2 ; } 
","private java.lang.String METHOD_1 ( int VAR_1 , int n ) { java.lang.String VAR_2 = VAR_1 + STRING_1 ; while ( ( VAR_2 . length ( ) ) < INT_1 ) VAR_2 = ""0"" + VAR_2 ; return VAR_2 ; } 
",-2,-2
3325,"public void METHOD_1 ( ) { this . VAR_1 = INT_1 ; this . VAR_2 = 0 ; this . VAR_3 = 1 ; METHOD_2 ( ) ; } 
","public void METHOD_1 ( ) { this . VAR_1 = INT_1 ; this . VAR_2 = 0 ; this . VAR_3 = 1 ; METHOD_2 ( ) ; } 
","public void init ( ) { this . VAR_1 = INT_1 ; this . VAR_2 = 0 ; this . VAR_3 = 1 ; METHOD_2 ( ) ; } 
","public void METHOD_1 ( ) { this . VAR_1 = INT_1 ; this . VAR_2 = 0 ; this . VAR_3 = 1 ; METHOD_2 ( ) ; } 
",-2,-2
3482,"public static java.lang.String METHOD_1 ( ) { return STRING_1 ; } 
","public static java.lang.String METHOD_1 ( ) { return STRING_1 ; } 
","public static java.lang.String trim ( ) { return STRING_1 ; } 
","public static java.lang.String METHOD_1 ( ) { return STRING_1 ; } 
",-2,-2
3002,"public void METHOD_1 ( ) throws java.io.IOException { new TYPE_1 ( VAR_1 ) . method ( STRING_1 ) . to ( METHOD_2 ( ) ) ; } 
","public void METHOD_1 ( ) throws java.io.IOException { new TYPE_1 ( VAR_1 ) . method ( STRING_1 ) . to ( METHOD_2 ( ) ) ; } 
","public void delete ( ) throws java.io.IOException { new TYPE_1 ( VAR_1 ) . method ( STRING_1 ) . to ( METHOD_2 ( ) ) ; } 
","public void METHOD_1 ( ) throws java.io.IOException { new TYPE_1 ( VAR_1 ) . method ( STRING_1 ) . to ( METHOD_2 ( ) ) ; } 
",-2,-2
1564,"public void METHOD_1 ( TYPE_1 out ) throws java.io.IOException { out . METHOD_1 ( this . VAR_1 ) ; out . METHOD_1 ( this . VAR_2 ) ; out . METHOD_1 ( this . VAR_3 ) ; out . METHOD_1 ( CHAR_1 ) ; } 
","public void METHOD_1 ( TYPE_1 out ) throws java.io.IOException { out . METHOD_1 ( this . VAR_1 ) ; out . METHOD_1 ( this . VAR_2 ) ; out . METHOD_1 ( this . VAR_3 ) ; out . METHOD_1 ( CHAR_1 ) ; } 
","public java.lang.String toString ( ) { return ( ( this . VAR_1 ) + ( this . VAR_2 ) ) + ( this . VAR_3 ) ; } 
","public java.lang.String METHOD_1 ( ) { return ( ( this . VAR_1 ) + ( this . VAR_2 ) ) + ( this . VAR_3 ) ; } 
",-2,-2
1029,"public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { TYPE_3 VAR_2 = VAR_1 . METHOD_2 ( false ) ; if ( VAR_2 != null ) return ( ( TYPE_1 ) ( VAR_2 . METHOD_3 ( METHOD_4 ( VAR_1 ) ) ) ) ; return null ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { TYPE_3 VAR_2 = VAR_1 . METHOD_2 ( false ) ; if ( VAR_2 != null ) return ( ( TYPE_1 ) ( VAR_2 . METHOD_3 ( METHOD_4 ( VAR_1 ) ) ) ) ; return null ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { TYPE_3 VAR_2 = VAR_1 . METHOD_2 ( false ) ; if ( VAR_2 != null ) return ( ( TYPE_1 ) ( VAR_2 . METHOD_3 ( VAR_2 . getId ( ) ) ) ) ; return null ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { TYPE_3 VAR_2 = VAR_1 . METHOD_2 ( false ) ; if ( VAR_2 != null ) return ( ( TYPE_1 ) ( VAR_2 . METHOD_3 ( VAR_2 . METHOD_4 ( ) ) ) ) ; return null ; } 
",-2,-2
5825,"public int METHOD_1 ( ) { return new TYPE_1 ( INT_1 , INT_2 ) . append ( name ) . append ( VAR_1 ) . append ( VAR_2 ) . append ( VAR_3 ) . METHOD_2 ( ) ; } 
","public int METHOD_1 ( ) { return new TYPE_1 ( INT_1 , INT_2 ) . append ( name ) . append ( VAR_1 ) . append ( VAR_2 ) . append ( VAR_3 ) . METHOD_2 ( ) ; } 
","public int getId ( ) { return id ; } 
","public int METHOD_1 ( ) { return id ; } 
",-2,-2
4228,"public void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_1 . METHOD_2 ( INT_1 ) ; TYPE_2 . assertTrue ( ( ( VAR_1 . METHOD_3 ( ) ) == INT_1 ) ) ; } 
","public void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_1 . METHOD_2 ( INT_1 ) ; TYPE_2 . assertTrue ( ( ( VAR_1 . METHOD_3 ( ) ) == INT_1 ) ) ; } 
","public void METHOD_1 ( ) { final int num = INT_1 ; TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_1 . METHOD_2 ( num ) ; TYPE_2 . assertTrue ( ( ( VAR_1 . METHOD_3 ( ) ) == num ) ) ; } 
","public void METHOD_1 ( ) { final int num = INT_1 ; TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_1 . METHOD_2 ( INT_1 ) ; TYPE_2 . assertTrue ( ( ( VAR_1 . METHOD_3 ( ) ) == INT_1 ) ) ; } 
",-2,-2
4962,"public void METHOD_1 ( java.lang.String VAR_1 ) { if ( ( this . VAR_1 ) == null ) { this . VAR_1 = VAR_1 . METHOD_2 ( ) ; } } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { if ( ( this . VAR_1 ) == null ) { this . VAR_1 = VAR_1 . METHOD_2 ( ) ; } } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { if ( ( this . VAR_1 ) == null ) { this . VAR_1 = java.lang.Integer.parseInt ( VAR_1 ) ; } } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { if ( ( this . VAR_1 ) == null ) { this . VAR_1 = java.lang.Integer.METHOD_2 ( VAR_1 ) ; } } 
",-1,-1
3112,"private < TYPE_1 > TYPE_1 getValue ( TYPE_1 value , TYPE_1 VAR_1 ) { return value == null ? VAR_1 : value ; } 
","private < TYPE_1 > TYPE_1 getValue ( TYPE_1 value , TYPE_1 VAR_1 ) { return value == null ? VAR_1 : VAR_1 ; } 
","private < TYPE_1 > TYPE_1 getValue ( TYPE_1 value , TYPE_1 VAR_1 ) { return value != null ? value : VAR_1 ; } 
","private < TYPE_1 > TYPE_1 getValue ( TYPE_1 value , TYPE_1 VAR_1 ) { return value != null ? VAR_1 : VAR_1 ; } 
",-2,-2
2591,"private void METHOD_1 ( int VAR_1 , int VAR_2 , int VAR_3 ) { VAR_4 = VAR_1 ; VAR_5 = VAR_2 ; VAR_6 = VAR_3 ; } 
","private void METHOD_1 ( int VAR_1 , int VAR_2 , int VAR_3 ) { VAR_4 = VAR_1 ; VAR_5 = VAR_2 ; VAR_6 = VAR_3 ; } 
","private synchronized void METHOD_1 ( int x , int y , int VAR_3 ) { VAR_4 = x ; VAR_5 = y ; VAR_6 = VAR_3 ; } 
","private synchronized void METHOD_1 ( int VAR_1 , int VAR_2 , int VAR_3 ) { VAR_4 = VAR_1 ; VAR_5 = VAR_2 ; VAR_6 = VAR_3 ; } 
",-2,-2
90,"public byte METHOD_1 ( int x ) { return VAR_1 [ VAR_2 [ VAR_3 ] ] . METHOD_1 ( x ) ; } 
","public byte METHOD_1 ( int x ) { return VAR_1 [ VAR_2 [ VAR_3 ] ] . METHOD_1 ( x ) ; } 
","public byte METHOD_1 ( int x ) { return VAR_1 [ index [ VAR_3 ] ] . METHOD_1 ( x ) ; } 
","public byte METHOD_1 ( int x ) { return VAR_1 [ VAR_2 [ VAR_3 ] ] . METHOD_1 ( x ) ; } 
",-2,-2
1209,"public TYPE_1 METHOD_1 ( java.util.Collection < TYPE_2 > VAR_1 ) { this . VAR_2 . METHOD_2 ( VAR_1 ) ; return this ; } 
","public TYPE_1 METHOD_1 ( java.util.Collection < TYPE_2 > VAR_1 ) { this . VAR_2 . METHOD_2 ( VAR_1 ) ; return this ; } 
","public TYPE_1 METHOD_1 ( java.util.Collection < java.lang.String > VAR_1 ) { for ( java.lang.String key : VAR_1 ) { this . VAR_2 . remove ( key ) ; } return this ; } 
","public TYPE_1 METHOD_1 ( java.util.Collection < java.lang.String > VAR_1 ) { for ( java.lang.String key : VAR_1 ) { this . VAR_2 . METHOD_2 ( VAR_1 ) ; } return this ; } 
",-2,-2
1721,"public static void main ( java.lang.String [ ] arg ) { VAR_1 . METHOD_1 ( STRING_1 ) ; } 
","public static void main ( java.lang.String [ ] arg ) { VAR_1 . METHOD_1 ( STRING_1 ) ; } 
","public static void main ( java.lang.String [ ] arg ) { java.lang.System.out.println ( STRING_1 ) ; } 
","public static void main ( java.lang.String [ ] arg ) { java.lang.System.out.METHOD_1 ( STRING_1 ) ; } 
",0,0
1515,"public void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; java.util.ArrayList < TYPE_2 > list = VAR_1 . METHOD_2 ( ) ; assertTrue ( ( ( list . size ( ) ) >= INT_1 ) ) ; } 
","public void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; java.util.ArrayList < TYPE_2 > list = VAR_1 . METHOD_2 ( ) ; assertTrue ( ( ( list . size ( ) ) >= INT_1 ) ) ; } 
","public void METHOD_1 ( ) { final int num = INT_1 ; TYPE_1 VAR_1 = new TYPE_1 ( ) ; java.util.ArrayList < TYPE_2 > list = VAR_1 . METHOD_2 ( ) ; assertTrue ( ( ( list . size ( ) ) >= num ) ) ; } 
","public void METHOD_1 ( ) { final int num = INT_1 ; TYPE_1 VAR_1 = new TYPE_1 ( ) ; java.util.ArrayList < TYPE_2 > list = VAR_1 . METHOD_2 ( ) ; assertTrue ( ( ( list . size ( ) ) >= INT_1 ) ) ; } 
",-2,-2
208,"public void METHOD_1 ( TYPE_1 event ) { context = event . getContext ( ) ; content = context . METHOD_2 ( ) ; if ( ( VAR_1 ) != null ) { VAR_2 . METHOD_3 ( new TYPE_2 ( VAR_1 ) , this ) ; } } 
","public void METHOD_1 ( TYPE_1 event ) { context = event . getContext ( ) ; content = context . METHOD_2 ( ) ; if ( ( VAR_1 ) != null ) { VAR_2 . METHOD_3 ( new TYPE_2 ( VAR_1 ) , this ) ; } } 
","public void execute ( ) { VAR_2 . METHOD_3 ( new TYPE_2 ( VAR_1 ) , this ) ; } 
","public void METHOD_1 ( ) { VAR_2 . METHOD_3 ( new TYPE_2 ( VAR_1 ) , this ) ; } 
",-2,-2
2361,"public TYPE_1 METHOD_1 ( int id ) { for ( java.lang.Integer i : VAR_1 . METHOD_2 ( ) ) if ( i == id ) { return VAR_1 . get ( i ) ; } return null ; } 
","public TYPE_1 METHOD_1 ( int id ) { for ( java.lang.Integer i : VAR_1 . METHOD_2 ( ) ) if ( i == id ) { return VAR_1 . get ( i ) ; } return null ; } 
","public TYPE_1 METHOD_1 ( int id ) { return VAR_1 . get ( id ) ; } 
","public TYPE_1 METHOD_1 ( int id ) { return VAR_1 . METHOD_2 ( id ) ; } 
",-1,-1
5443,"public void METHOD_1 ( ) { VAR_1 . METHOD_1 ( ) ; VAR_2 = VAR_3 = VAR_4 = 0.0F ; VAR_5 = 0 ; VAR_6 = false ; VAR_7 = true ; VAR_8 = new TYPE_1 ( VAR_4 ) ; VAR_1 . add ( VAR_8 ) ; } 
","public void METHOD_1 ( ) { VAR_1 . METHOD_1 ( ) ; VAR_2 = VAR_3 = VAR_4 = 0.0F ; VAR_5 = 0 ; VAR_6 = false ; VAR_7 = true ; VAR_8 = new TYPE_1 ( VAR_4 ) ; VAR_1 . add ( VAR_8 ) ; } 
","public void setValue ( float f ) { VAR_2 = VAR_3 = f ; } 
","public void METHOD_1 ( float f ) { VAR_2 = VAR_3 = f ; } 
",-2,-2
792,"public TYPE_1 METHOD_1 ( java.lang.String key ) { return ( ( TYPE_1 ) ( VAR_1 . get ( key ) ) ) ; } 
","public TYPE_1 METHOD_1 ( java.lang.String key ) { return ( ( TYPE_1 ) ( VAR_1 . get ( key ) ) ) ; } 
","public java.lang.String getString ( java.lang.String key ) { if ( ( VAR_1 . get ( key ) ) != null ) { return VAR_1 . get ( key ) . toString ( ) ; } return null ; } 
","public java.lang.String METHOD_1 ( java.lang.String key ) { if ( ( VAR_1 . get ( key ) ) != null ) { return VAR_1 . get ( key ) . toString ( ) ; } return null ; } 
",-2,-2
4817,"private void METHOD_1 ( ) { if ( ( VAR_1 . length ( ) ) == 0 ) { return ; } VAR_1 . METHOD_2 ( ( ( VAR_1 . length ( ) ) - 1 ) ) ; METHOD_3 ( ) ; } 
","private void METHOD_1 ( ) { if ( ( VAR_1 . length ( ) ) == 0 ) { return ; } VAR_1 . METHOD_2 ( ( ( VAR_1 . length ( ) ) - 1 ) ) ; METHOD_3 ( ) ; } 
","private void delete ( ) { VAR_1 . METHOD_2 ( ( ( VAR_1 . length ( ) ) - 1 ) ) ; if ( ( VAR_1 . length ( ) ) == 0 ) { VAR_1 . append ( ""0"" ) ; } METHOD_3 ( ) ; } 
","private void METHOD_1 ( ) { VAR_1 . METHOD_2 ( ( ( VAR_1 . length ( ) ) - 1 ) ) ; if ( ( VAR_1 . length ( ) ) == 0 ) { VAR_1 . append ( ""0"" ) ; } METHOD_3 ( ) ; } 
",-2,-2
1105,"public void METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 , java.io.IOException , TYPE_3 { VAR_2 . put ( VAR_1 . METHOD_2 ( ) , VAR_1 ) ; METHOD_3 ( ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 , java.io.IOException , TYPE_3 { VAR_2 . put ( VAR_1 . METHOD_2 ( ) , VAR_1 ) ; METHOD_3 ( ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 , java.io.IOException , TYPE_3 { VAR_2 . put ( VAR_1 . getId ( ) , VAR_1 ) ; METHOD_3 ( ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 , java.io.IOException , TYPE_3 { VAR_2 . put ( VAR_1 . METHOD_2 ( ) , VAR_1 ) ; METHOD_3 ( ) ; } 
",-2,-2
2711,"public TYPE_1 < ? > METHOD_1 ( TYPE_2 VAR_1 , java.lang.String url , java.lang.Object VAR_2 ) { return VAR_1 . METHOD_2 ( url , VAR_3 , ( ( TYPE_3 < ? > ) ( VAR_2 ) ) , VAR_4 . String class ) ; } 
","public TYPE_1 < ? > METHOD_1 ( TYPE_2 VAR_1 , java.lang.String url , java.lang.Object VAR_2 ) { return VAR_1 . METHOD_2 ( url , VAR_3 , ( ( TYPE_3 < ? > ) ( VAR_2 ) ) , VAR_4 . String class ) ; } 
","public TYPE_1 < ? > execute ( TYPE_2 VAR_1 , java.lang.String url , java.lang.Object VAR_2 ) { return VAR_1 . METHOD_2 ( url , VAR_3 , ( ( TYPE_3 < ? > ) ( VAR_2 ) ) , VAR_4 . String class ) ; } 
","public TYPE_1 < ? > METHOD_1 ( TYPE_2 VAR_1 , java.lang.String url , java.lang.Object VAR_2 ) { return VAR_1 . METHOD_2 ( url , VAR_3 , ( ( TYPE_3 < ? > ) ( VAR_2 ) ) , VAR_4 . String class ) ; } 
",-2,-2
75,"public void METHOD_1 ( java.lang.String VAR_1 ) { this . VAR_1 = VAR_1 ; VAR_2 . METHOD_2 ( VAR_3 , VAR_4 , name ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { this . VAR_1 = VAR_1 ; VAR_2 . METHOD_2 ( VAR_3 , VAR_4 , VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { this . VAR_1 = VAR_1 ; VAR_2 . METHOD_2 ( VAR_3 , VAR_4 , VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { this . VAR_1 = VAR_1 ; VAR_2 . METHOD_2 ( VAR_3 , VAR_4 , VAR_1 ) ; } 
",-2,-2
3696,"public void execute ( ) { VAR_1 . METHOD_1 ( VAR_2 , VAR_3 , VAR_4 , height ) ; } 
","public void METHOD_1 ( ) { VAR_1 . METHOD_1 ( VAR_2 , VAR_3 , VAR_4 , height ) ; } 
","public void METHOD_1 ( final java.lang.Double VAR_2 , final java.lang.Double VAR_3 , final java.lang.Double VAR_4 , final java.lang.Double height ) { VAR_1 . METHOD_1 ( VAR_2 , VAR_3 , VAR_4 , height ) ; } 
","public void METHOD_1 ( final java.lang.Double VAR_2 , final java.lang.Double VAR_3 , final java.lang.Double VAR_4 , final java.lang.Double height ) { VAR_1 . METHOD_1 ( VAR_2 , VAR_3 , VAR_4 , height ) ; } 
",-2,-2
5141,"public TYPE_1 < TYPE_2 > text ( int VAR_1 , java.lang.Object ... VAR_2 ) { METHOD_1 ( ) . setText ( TYPE_3 . format ( TYPE_1 . METHOD_2 ( VAR_1 ) , VAR_2 ) ) ; return this ; } 
","public TYPE_1 < TYPE_2 > text ( int VAR_1 , java.lang.Object ... VAR_2 ) { METHOD_1 ( ) . setText ( TYPE_3 . format ( TYPE_1 . METHOD_2 ( VAR_1 ) , VAR_2 ) ) ; return this ; } 
","public TYPE_1 < TYPE_2 > text ( int VAR_1 , java.lang.Object ... VAR_2 ) { METHOD_1 ( ) . setText ( TYPE_3 . format ( TYPE_1 . getString ( VAR_1 ) , VAR_2 ) ) ; return this ; } 
","public TYPE_1 < TYPE_2 > text ( int VAR_1 , java.lang.Object ... VAR_2 ) { METHOD_1 ( ) . setText ( TYPE_3 . format ( TYPE_1 . METHOD_2 ( VAR_1 ) , VAR_2 ) ) ; return this ; } 
",-2,-2
3979,"public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_2 ) != null ) { VAR_3 = VAR_2 . METHOD_2 ( ) ; VAR_2 . METHOD_3 ( ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_2 ) != null ) { VAR_3 = VAR_2 . METHOD_2 ( ) ; VAR_2 . METHOD_3 ( ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_2 . get ( ) ) != null ) { VAR_3 = VAR_2 . get ( ) . METHOD_2 ( ) ; VAR_2 . get ( ) . METHOD_3 ( ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_2 . get ( ) ) != null ) { VAR_3 = VAR_2 . METHOD_2 ( ) . METHOD_2 ( ) ; VARMETHOD_3. get ( ) . METHOD_3 ( ) ; } } 
",-1,-1
2489,"protected void METHOD_1 ( double VAR_1 ) { METHOD_1 ( new java.lang.Double ( TYPE_1 . METHOD_2 ( VAR_1 ) ) . intValue ( ) ) ; } 
","protected void METHOD_1 ( double VAR_1 ) { METHOD_1 ( new java.lang.Double ( TYPE_1 . METHOD_2 ( VAR_1 ) ) . METHOD_1 ( ) ) ; } 
","protected void METHOD_1 ( double VAR_1 ) { METHOD_1 ( ( ( int ) ( TYPE_1 . METHOD_2 ( VAR_1 ) ) ) ) ; } 
","protected void METHOD_1 ( double VAR_1 ) { METHOD_1 ( ( ( int ) ( TYPE_1 . METHOD_2 ( VAR_1 ) ) ) ) ; } 
",-2,-2
3609,"public void execute ( TYPE_1 VAR_1 ) { new java.lang.Thread ( VAR_1 ) . METHOD_1 ( ) ; } 
","public void execute ( TYPE_1 VAR_1 ) { new java.lang.Thread ( VAR_1 ) . METHOD_1 ( ) ; } 
","public void execute ( TYPE_1 VAR_1 ) { new java.lang.Thread ( VAR_1 ) . start ( ) ; } 
","public void execute ( TYPE_1 VAR_1 ) { new java.lang.Thread ( VAR_1 ) . METHOD_1 ( ) ; } 
",-2,-2
